"Station Name","GREENWOOD A"
"Province","NOVA SCOTIA"
"Latitude","44.98"
"Longitude","-64.92"
"Elevation","28.00"
"Climate Identifier","8202000"
"WMO Identifier","71397"
"TC Identifier","YZX"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1951-12","1951","12","2.4","","-6.4","","-2.0","","15.6","","-20.0","","55.1","","95.3","","149.6","","3","",,"",,""
"1952-01","1952","01","1.0","","-9.4","","-4.2","","12.2","","-21.7","","80.8","","129.5","","210.3","","23","",,"",,""
"1952-02","1952","02","0.0","","-7.3","","-3.7","","11.1","","-16.1","","34.3","","86.1","","120.4","","58","",,"",,""
"1952-03","1952","03","2.7","","-4.1","","-0.7","","10.0","","-13.3","","17.0","","56.1","","73.2","","","M",,"",,""
"1952-04","1952","04","11.3","","1.1","","6.2","","20.0","","-6.1","","45.7","","0.0","T","45.7","","","M",,"",,""
"1952-05","1952","05","15.2","","4.2","","9.7","","27.2","","-2.8","","69.9","","0.0","","69.9","","","M",,"",,""
"1952-06","1952","06","22.1","","10.6","","16.4","","28.3","","4.4","S","56.6","","0.0","","56.6","","","M",,"",,""
"1952-07","1952","07","28.9","","13.9","","21.4","","34.4","","5.6","S","43.7","","0.0","","43.7","","","M",,"",,""
"1952-08","1952","08","25.4","","13.7","","19.6","","31.7","","2.8","","115.3","","0.0","","115.3","","","M",,"",,""
"1952-09","1952","09","20.9","","7.6","","14.3","","27.8","","-2.2","S","91.9","","0.0","","91.9","","","M",,"",,""
"1952-10","1952","10","13.8","","3.2","","8.5","","23.9","","-3.9","","92.7","","0.0","T","92.7","","","M",,"",,""
"1952-11","1952","11","7.0","","0.4","","3.7","","18.3","","-10.0","","51.6","","11.4","","63.0","","","M",,"",,""
"1952-12","1952","12","1.3","","-4.6","","-1.7","","9.4","","-15.0","","22.6","","26.9","","49.5","","13","",,"",,""
"1953-01","1953","01","2.8","","-6.3","","-1.8","","13.9","","-16.1","","80.0","","23.9","","103.9","","0","T",,"",,""
"1953-02","1953","02","2.1","","-7.1","","-2.5","","13.9","","-16.7","","86.6","","24.6","","111.3","","","M",,"",,""
"1953-03","1953","03","4.6","","-2.8","","0.9","","16.1","","-14.4","","78.0","","2.0","","80.0","","","M",,"",,""
"1953-04","1953","04","11.6","","2.6","","7.1","","17.2","","-2.8","","69.6","","0.0","T","69.6","","","M",,"",,""
"1953-05","1953","05","16.6","","4.9","","10.8","","26.1","","-4.4","","71.4","","0.0","","71.4","","","M",,"",,""
"1953-06","1953","06","22.7","","9.9","","16.3","","30.0","","0.6","","47.5","","0.0","","47.5","","","M",,"",,""
"1953-07","1953","07","25.3","","13.2","","19.3","","30.6","","7.2","S","88.6","","0.0","","88.6","","","M",,"",,""
"1953-08","1953","08","23.6","","11.8","","17.7","","31.1","","4.4","","72.4","","0.0","","72.4","","","M",,"",,""
"1953-09","1953","09","20.7","","9.2","","15.0","","30.0","","-2.8","","72.9","","0.0","","72.9","","","M",,"",,""
"1953-10","1953","10","14.6","","4.6","","9.6","","24.4","","-2.8","","101.3","","0.0","","101.3","","","M",,"",,""
"1953-11","1953","11","9.7","","2.1","","5.9","","20.6","","-5.6","S","58.9","","0.0","T","58.9","","","M",,"",,""
"1953-12","1953","12","5.9","","-2.9","","1.5","","16.7","","-12.2","","111.8","","40.6","","152.4","","","M",,"",,""
"1954-01","1954","01","-1.4","","-10.6","","-6.0","","10.6","S","-20.6","","63.2","","132.6","","195.8","","58","",,"",,""
"1954-02","1954","02","2.1","","-5.6","","-1.8","","11.7","","-22.8","S","68.6","","98.6","","167.1","","","M",,"",,""
"1954-03","1954","03","2.7","","-3.9","","-0.6","","13.3","","-10.6","","38.9","","42.7","","81.5","","0","T",,"",,""
"1954-04","1954","04","11.3","","-0.9","","5.2","","22.8","","-8.9","S","81.0","","6.4","","87.4","","","M",,"",,""
"1954-05","1954","05","16.3","","5.0","","10.7","","23.3","S","-3.9","","78.2","","0.0","T","78.2","","","M",,"",,""
"1954-06","1954","06","22.4","","10.7","","16.6","","31.1","","2.2","","92.7","","0.0","","92.7","","","M",,"",,""
"1954-07","1954","07","23.7","","12.4","","18.1","","26.7","S","5.6","","59.7","","0.0","","59.7","","","M",,"",,""
"1954-08","1954","08","22.7","","10.9","","16.8","","28.9","","3.3","","85.9","","0.0","","85.9","","","M",,"",,""
"1954-09","1954","09","19.3","","7.9","","13.6","","26.7","","0.6","","38.6","","0.0","","38.6","","","M",,"",,""
"1954-10","1954","10","14.6","","5.7","","10.2","","21.7","S","-4.4","","159.0","","0.0","T","159.0","","","M",,"",,""
"1954-11","1954","11","7.7","","0.3","","4.0","","19.4","S","-8.9","","85.3","","22.4","","107.7","","8","",,"",,""
"1954-12","1954","12","5.0","","-3.6","","0.7","","15.0","","-11.1","S","125.5","","30.5","","156.0","","","M",,"",,""
"1955-01","1955","01","-1.2","","-6.2","","-3.7","","2.8","","-16.1","S","2.5","","115.1","","117.6","","25","",,"",,""
"1955-02","1955","02","0.1","","-7.6","","-3.8","","11.7","","-25.0","","44.2","","31.5","","75.7","","0","T",,"",,""
"1955-03","1955","03","2.7","","-4.5","","-0.9","","15.6","","-12.8","","84.6","","38.4","","122.9","","0","",,"",,""
"1955-04","1955","04","9.7","","-0.2","","4.8","","17.2","","-6.1","S","59.7","","5.1","","64.8","","0","",,"",,""
"1955-05","1955","05","17.1","","5.7","","11.4","","27.8","","-1.1","S","51.1","","0.0","","51.1","","0","",,"",,""
"1955-06","1955","06","21.2","","9.8","","15.5","","30.6","","2.8","","24.6","","0.0","","24.6","","0","",,"",,""
"1955-07","1955","07","26.9","","12.5","","19.7","","33.3","S","5.6","S","60.5","","0.0","","60.5","","0","",,"",,""
"1955-08","1955","08","24.9","","14.1","","19.5","","32.2","S","6.1","","146.6","","0.0","","146.6","","0","",,"",,""
"1955-09","1955","09","19.2","","8.0","","13.6","","26.1","S","0.0","S","61.2","","0.0","","61.2","","0","",,"",,""
"1955-10","1955","10","13.2","","4.0","","8.6","","23.3","","-3.3","","41.9","","0.0","T","41.9","","0","",,"",,""
"1955-11","1955","11","6.2","","0.2","","3.2","","16.7","","-6.7","","42.4","","66.0","","108.5","","8","",,"",,""
"1955-12","1955","12","-2.7","","-7.9","","-5.3","","3.3","","-18.3","","2.3","","65.3","","67.6","","20","",,"",,""
"1956-01","1956","01","1.9","","-3.4","","-0.8","","11.1","","-22.8","","220.2","","49.8","","270.0","","20","",,"",,""
"1956-02","1956","02","-0.9","","-9.2","","-5.1","","8.9","","-18.3","","11.4","","96.0","","107.4","","38","",,"",,""
"1956-03","1956","03","0.8","","-9.2","","-4.2","","8.3","","-22.2","","24.9","","126.7","","151.6","","33","",,"",,""
"1956-04","1956","04","8.0","","-0.5","","3.8","","15.6","","-7.8","","67.6","","14.2","","81.8","","0","",,"",,""
"1956-05","1956","05","13.5","","2.4","","8.0","","24.4","","-2.2","S","121.4","","2.5","","124.0","","0","",,"",,""
"1956-06","1956","06","22.4","","10.4","","16.4","","32.8","","4.4","S","132.1","","0.0","","132.1","","0","",,"",,""
"1956-07","1956","07","23.4","","11.8","","17.6","","26.7","S","7.8","","52.6","","0.0","","52.6","","0","",,"",,""
"1956-08","1956","08","22.7","","10.1","","16.4","","29.4","","3.3","","59.7","","0.0","","59.7","","0","",,"",,""
"1956-09","1956","09","18.3","","6.6","","12.5","","28.9","","-2.8","","85.1","","0.0","","85.1","","0","",,"",,""
"1956-10","1956","10","14.6","","1.9","","8.3","","23.3","S","-7.8","","23.9","","0.0","T","23.9","","0","",,"",,""
"1956-11","1956","11","8.9","","-0.9","","4.0","","20.6","","-11.7","","79.2","","27.4","","106.7","","0","",,"",,""
"1956-12","1956","12","2.4","","-6.3","","-2.0","","14.4","","-17.2","","83.1","","41.7","","124.7","","5","",,"",,""
"1957-01","1957","01","-4.1","","-14.0","","-9.1","","12.2","","-28.9","","32.8","","136.4","","169.2","","10","","36","","121",""
"1957-02","1957","02","0.6","","-8.0","","-3.7","","11.1","","-17.2","","25.4","","27.9","","53.3","","3","","27","","89","B"
"1957-03","1957","03","3.8","","-4.0","","-0.1","","10.6","S","-10.0","S","22.4","","38.6","","61.0","","0","T","27","","80",""
"1957-04","1957","04","10.1","","0.1","","5.1","","23.9","","-6.7","","103.1","","19.8","","122.9","","0","","25","","90","S"
"1957-05","1957","05","16.7","","4.9","","10.8","","27.2","","-6.7","","31.8","","1.5","","33.3","","0","","25","","82",""
"1957-06","1957","06","23.3","","10.6","","17.0","","31.7","","3.3","","43.7","","0.0","","43.7","","0","","20","","84",""
"1957-07","1957","07","23.9","","11.9","","17.9","","30.0","","6.7","S","51.1","","0.0","","51.1","","0","","25","","68",""
"1957-08","1957","08","23.1","","10.4","","16.8","","26.7","S","3.3","S","97.0","","0.0","","97.0","","0","","25","","56","S"
"1957-09","1957","09","20.7","","9.4","","15.1","","28.9","","0.6","","53.1","","0.0","","53.1","","0","","27","","76",""
"1957-10","1957","10","14.4","","4.3","","9.4","","20.6","S","-5.6","","39.6","","7.1","","46.7","","","M","34","","72",""
"1957-11","1957","11","9.3","","2.3","","5.8","","18.9","","-10.0","","129.5","","0.8","","130.3","","0","","20","","87","S"
"1957-12","1957","12","5.9","","-2.0","","2.0","","16.7","","-13.3","","91.7","","25.1","","116.8","","0","","16","","106",""
"1958-01","1958","01","2.2","","-4.3","","-1.1","","12.8","","-16.1","","144.5","","19.1","","163.6","","0","T","20","","126",""
